,filename,c1_lexical_similarity,c1_semantic_similarity,c1_new_content_proportion,c1_len_quote,c1_len_original,c1_question_count,c2_lexical_similarity,c2_semantic_similarity,c2_new_content_proportion,c2_len_quote,c2_len_original,c2_question_count,c3_lexical_similarity,c3_semantic_similarity,c3_new_content_proportion,c3_len_quote,c3_len_original,c3_question_count,c4_lexical_similarity,c4_semantic_similarity,c4_new_content_proportion,c4_len_quote,c4_len_original,c4_question_count,c5_lexical_similarity,c5_semantic_similarity,c5_new_content_proportion,c5_len_quote,c5_len_original,c5_question_count,c6_lexical_similarity,c6_semantic_similarity,c6_new_content_proportion,c6_len_quote,c6_len_original,c6_question_count,c7_lexical_similarity,c7_semantic_similarity,c7_new_content_proportion,c7_len_quote,c7_len_original,c7_question_count,c8_lexical_similarity,c8_semantic_similarity,c8_new_content_proportion,c8_len_quote,c8_len_original,c8_question_count,c9_lexical_similarity,c9_semantic_similarity,c9_new_content_proportion,c9_len_quote,c9_len_original,c9_question_count,c10_lexical_similarity,c10_semantic_similarity,c10_new_content_proportion,c10_len_quote,c10_len_original,c10_question_count,c11_lexical_similarity,c11_semantic_similarity,c11_new_content_proportion,c11_len_quote,c11_len_original,c11_question_count,c12_lexical_similarity,c12_semantic_similarity,c12_new_content_proportion,c12_len_quote,c12_len_original,c12_question_count,c13_lexical_similarity,c13_semantic_similarity,c13_new_content_proportion,c13_len_quote,c13_len_original,c13_question_count,c14_lexical_similarity,c14_semantic_similarity,c14_new_content_proportion,c14_len_quote,c14_len_original,c14_question_count,c15_lexical_similarity,c15_semantic_similarity,c15_new_content_proportion,c15_len_quote,c15_len_original,c15_question_count,c16_lexical_similarity,c16_semantic_similarity,c16_new_content_proportion,c16_len_quote,c16_len_original,c16_question_count,c17_lexical_similarity,c17_semantic_similarity,c17_new_content_proportion,c17_len_quote,c17_len_original,c17_question_count,c18_lexical_similarity,c18_semantic_similarity,c18_new_content_proportion,c18_len_quote,c18_len_original,c18_question_count,c19_lexical_similarity,c19_semantic_similarity,c19_new_content_proportion,c19_len_quote,c19_len_original,c19_question_count,c20_lexical_similarity,c20_semantic_similarity,c20_new_content_proportion,c20_len_quote,c20_len_original,c20_question_count,op_main,op_anger,op_sadness,op_neutral,op_joy,op_fear,op_disgust,op_surprise,c1_main,c1_neutral,c1_anger,c1_joy,c1_sadness,c1_disgust,c1_fear,c1_surprise,c2_main,c2_anger,c2_neutral,c2_sadness,c2_joy,c2_fear,c2_disgust,c2_surprise,c3_main,c3_neutral,c3_anger,c3_sadness,c3_joy,c3_fear,c3_disgust,c3_surprise,c4_main,c4_neutral,c4_anger,c4_sadness,c4_joy,c4_fear,c4_disgust,c4_surprise,c5_main,c5_joy,c5_neutral,c5_anger,c5_sadness,c5_disgust,c5_fear,c5_surprise,c6_main,c6_sadness,c6_neutral,c6_anger,c6_joy,c6_disgust,c6_fear,c6_surprise,c7_main,c7_anger,c7_disgust,c7_sadness,c7_joy,c7_neutral,c7_fear,c7_surprise,c8_main,c8_neutral,c8_joy,c8_anger,c8_sadness,c8_fear,c8_surprise,c8_disgust,c9_main,c9_anger,c9_disgust,c9_sadness,c9_neutral,c9_joy,c9_fear,c9_surprise,c10_main,c10_neutral,c10_anger,c10_joy,c10_sadness,c10_surprise,c10_fear,c10_disgust,c11_main,c11_neutral,c11_anger,c11_joy,c11_sadness,c11_disgust,c11_fear,c11_surprise,c12_main,c12_neutral,c12_anger,c12_joy,c12_sadness,c12_disgust,c12_surprise,c12_fear,c13_main,c13_neutral,c13_joy,c13_anger,c13_sadness,c13_disgust,c13_fear,c13_surprise,c14_main,c14_neutral,c14_anger,c14_sadness,c14_joy,c14_disgust,c14_fear,c14_surprise,c15_main,c15_neutral,c15_anger,c15_joy,c15_sadness,c15_surprise,c15_fear,c15_disgust,c16_main,c16_joy,c16_neutral,c16_anger,c16_sadness,c16_disgust,c16_surprise,c16_fear,outcome,c17_main,c17_anger,c17_joy,c17_sadness,c17_neutral,c17_disgust,c17_fear,c17_surprise,c18_main,c18_neutral,c18_joy,c18_anger,c18_sadness,c18_surprise,c18_fear,c18_disgust,c19_main,c19_neutral,c19_anger,c19_joy,c19_sadness,c19_surprise,c19_disgust,c19_fear,c20_main,c20_anger,c20_neutral,c20_joy,c20_sadness,c20_disgust,c20_surprise,c20_fear
0,113567594.0_1_delta_threads.xml,0.096840664499962,0.5950333476066589,1.0,0,139,0,0.0950143561927026,0.5216954946517944,1.0,0,43,0,0.0610523068636263,0.3703078627586365,1.0,0,97,0,0.0490172788482985,0.3337019085884094,1.0,0,22,0,0.1658972650442016,0.4116758108139038,1.0,0,36,0,0.0123262834258756,0.2141100466251373,1.0,0.0,28.0,0.0,0.0457110025979285,0.2377011775970459,1.0,0.0,15.0,0.0,0.0276999025388936,0.509742796421051,1.0,0.0,141.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.635,0.173,0.123,0.052,0.008,0.006,0.002,neutral,0.642,0.191,0.105,0.052,0.005,0.003,0.003,anger,0.401,0.303,0.146,0.132,0.01,0.004,0.003,neutral,0.518,0.224,0.179,0.069,0.004,0.003,0.002,neutral,0.438,0.335,0.14,0.075,0.007,0.003,0.002,joy,0.416,0.383,0.134,0.056,0.005,0.003,0.003,sadness,0.561,0.203,0.171,0.052,0.007,0.005,0.002,anger,0.575,0.258,0.085,0.044,0.024,0.009,0.005,neutral,0.66,0.191,0.121,0.021,0.003,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1082495263.0_2_delta_threads.xml,0.1679095659437552,0.4619616568088531,1.0,0,53,0,0.0764737547296734,0.3739011287689209,1.0,0,33,0,0.2600320006343364,0.6960098743438721,1.0,0,70,0,0.2385259159978667,0.5256417989730835,1.0,0,88,0,0.3544386485732128,0.7470982074737549,1.0,0,72,0,0.0230628310077774,0.395149827003479,1.0,0.0,6.0,0.0,0.098656215119193,0.475343644618988,1.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.224,0.047,0.515,0.194,0.01,0.005,0.005,neutral,0.709,0.17,0.063,0.041,0.003,0.01,0.004,anger,0.525,0.345,0.059,0.055,0.008,0.004,0.004,neutral,0.618,0.234,0.029,0.103,0.009,0.003,0.004,neutral,0.539,0.276,0.056,0.115,0.009,0.003,0.002,neutral,0.075,0.436,0.425,0.047,0.004,0.009,0.003,neutral,0.045,0.61,0.305,0.03,0.004,0.002,0.003,neutral,0.444,0.004,0.025,0.036,0.487,0.003,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1409948101.0_2_delta_threads.xml,0.0942306480155946,0.1949849277734756,1.0,0,14,0,0.1048540053567576,0.0900224298238754,1.0,0,17,0,0.0268691203921435,0.355352520942688,1.0,0,14,0,0.0178248462331163,0.5171018242835999,1.0,0,24,0,0.1310465344611536,0.610123872756958,1.0,0,26,0,0.1102947947772387,0.4249238669872284,1.0,0.0,29.0,0.0,0.4221896330095385,0.8096266984939575,1.0,0.0,52.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.614,0.048,0.253,0.054,0.006,0.022,0.004,neutral,0.682,0.032,0.269,0.009,0.004,0.002,0.001,neutral,0.029,0.869,0.057,0.041,0.001,0.002,0.001,neutral,0.554,0.36,0.037,0.038,0.003,0.003,0.004,neutral,0.666,0.029,0.012,0.284,0.002,0.002,0.005,neutral,0.035,0.854,0.091,0.017,0.001,0.001,0.001,neutral,0.015,0.855,0.108,0.019,0.001,0.001,0.001,neutral,0.055,0.001,0.006,0.023,0.914,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1378810771.0_1_delta_threads.xml,0.3038192337936385,0.497336745262146,1.0,0,53,0,0.1521832109672987,0.4883215129375458,1.0,0,25,0,0.0796909497883622,0.5651128888130188,1.0,0,21,0,0.1338708389918626,0.3451904356479645,1.0,0,11,0,0.1093106196185762,0.50806725025177,1.0,0,40,0,0.0248486759132039,0.2272265255451202,1.0,0.0,9.0,0.0,0.2094121623037931,0.2911915183067322,1.0,0.0,96.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.25,0.081,0.369,0.245,0.01,0.037,0.008,anger,0.014,0.863,0.045,0.038,0.03,0.006,0.004,anger,0.456,0.036,0.112,0.077,0.015,0.301,0.003,anger,0.046,0.683,0.214,0.037,0.005,0.014,0.002,sadness,0.031,0.222,0.478,0.218,0.008,0.035,0.008,neutral,0.449,0.492,0.036,0.011,0.007,0.003,0.002,sadness,0.909,0.023,0.017,0.043,0.005,0.003,0.001,anger,0.441,0.02,0.194,0.097,0.225,0.017,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1437482501.0_1_delta_threads.xml,0.149606479927668,0.416133314371109,1.0,0,19,0,0.1668406975173826,0.554806113243103,1.0,0,20,0,0.0636012057567121,0.3818088471889496,1.0,0,12,0,0.0,0.1313295513391494,1.0,0,5,0,0.0,0.175206258893013,1.0,0,11,0,0.0,0.3843538165092468,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.096,0.098,0.483,0.227,0.034,0.054,0.007,neutral,0.495,0.369,0.051,0.033,0.036,0.01,0.006,joy,0.068,0.337,0.055,0.386,0.064,0.077,0.012,disgust,0.062,0.024,0.026,0.142,0.037,0.678,0.031,neutral,0.829,0.045,0.016,0.08,0.007,0.012,0.01,neutral,0.094,0.877,0.016,0.007,0.002,0.002,0.002,neutral,0.033,0.472,0.246,0.21,0.032,0.003,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,154839924.0_4_delta_threads.xml,0.0782003659435082,0.3973603844642639,1.0,0,215,0,0.0621531837996128,0.1619726419448852,1.0,0,6,0,0.0,0.0453713536262512,1.0,0,8,0,0.0,0.1738964021205902,1.0,0,13,0,0.0516923681899806,0.3774468004703522,1.0,0,134,0,0.0063628239783594,0.1939775794744491,1.0,0.0,29.0,0.0,0.0,0.0942204296588897,1.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.24,0.012,0.558,0.183,0.002,0.004,0.001,neutral,0.626,0.21,0.102,0.046,0.005,0.006,0.005,neutral,0.027,0.543,0.007,0.418,0.001,0.001,0.002,neutral,0.623,0.029,0.015,0.326,0.003,0.001,0.003,anger,0.071,0.763,0.098,0.04,0.004,0.02,0.003,neutral,0.163,0.512,0.207,0.089,0.012,0.011,0.006,joy,0.03,0.319,0.247,0.39,0.004,0.004,0.006,neutral,0.131,0.002,0.023,0.193,0.633,0.011,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1719432989.0_3_delta_threads.xml,0.038260803468191,0.2799871265888214,1.0,0,13,0,0.090096907569124,0.4797127246856689,1.0,0,30,0,0.0747036901102658,0.4455996751785278,1.0,0,12,0,0.070304920864595,0.3211852610111236,1.0,0,5,0,0.2161090542814162,0.4466471672058105,1.0,0,29,0,0.1368306216442294,0.6809288263320923,1.0,0.0,58.0,0.0,0.0161396517425516,0.2938964664936065,1.0,0.0,12.0,0.0,0.0909333201696103,0.5579693913459778,1.0,0.0,24.0,0.0,0.1203434439039803,0.3648191392421722,1.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.355,0.083,0.387,0.139,0.011,0.021,0.005,anger,0.012,0.965,0.01,0.007,0.004,0.001,0.002,anger,0.931,0.025,0.017,0.011,0.002,0.012,0.003,anger,0.293,0.538,0.075,0.052,0.004,0.036,0.002,anger,0.015,0.916,0.043,0.012,0.003,0.009,0.001,anger,0.186,0.236,0.262,0.16,0.137,0.016,0.004,anger,0.12,0.205,0.457,0.13,0.077,0.006,0.005,neutral,0.155,0.02,0.045,0.229,0.537,0.008,0.006,neutral,0.35,0.107,0.245,0.146,0.091,0.008,0.053,anger,0.489,0.208,0.138,0.088,0.059,0.016,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1719432989.0_1_delta_threads.xml,0.0896287569243022,0.646618664264679,1.0,0,58,0,0.6668351294551369,0.7738845944404602,1.0,0,92,0,0.0173004827734738,0.3310718238353729,1.0,0,6,0,0.186686204796886,0.4715065360069275,1.0,0,23,0,0.0220409709847152,0.4700150489807129,1.0,0,19,0,0.2457221313078348,0.6891059875488281,1.0,0.0,22.0,0.0,0.4602127961920151,0.7448262572288513,1.0,0.0,13.0,0.0,0.0,0.1778400689363479,1.0,0.0,7.0,0.0,0.4628204351930679,0.3349658548831939,1.0,0.0,20.0,0.0,0.0,0.068956509232521,1.0,0.0,8.0,0.0,0.231193163515794,0.3519335091114044,1.0,0.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.355,0.083,0.387,0.139,0.011,0.021,0.005,anger,0.225,0.562,0.065,0.091,0.043,0.011,0.003,anger,0.617,0.125,0.095,0.116,0.009,0.035,0.002,neutral,0.565,0.071,0.142,0.194,0.017,0.005,0.006,neutral,0.459,0.253,0.06,0.201,0.008,0.012,0.005,anger,0.007,0.009,0.736,0.038,0.198,0.007,0.005,neutral,0.079,0.667,0.081,0.115,0.034,0.016,0.008,joy,0.182,0.048,0.04,0.462,0.255,0.009,0.004,neutral,0.868,0.038,0.052,0.035,0.004,0.002,0.002,anger,0.452,0.032,0.038,0.364,0.109,0.004,0.002,neutral,0.68,0.237,0.052,0.019,0.006,0.003,0.002,neutral,0.463,0.424,0.075,0.02,0.014,0.003,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1821161756.0_2_delta_threads.xml,0.3730181826534528,0.7156871557235718,1.0,0,83,0,0.1197415421517616,0.4645973145961761,1.0,0,23,0,0.0278262185474935,0.2708014845848083,1.0,0,14,0,0.0,0.0516950748860836,1.0,0,4,0,0.0,0.1817202568054199,1.0,0,5,0,0.0,0.1694239675998687,1.0,0.0,3.0,0.0,0.0,0.2008141428232193,1.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.743,0.073,0.103,0.051,0.006,0.023,0.002,anger,0.065,0.851,0.039,0.02,0.02,0.004,0.002,neutral,0.253,0.648,0.046,0.045,0.003,0.003,0.002,anger,0.3,0.565,0.025,0.092,0.011,0.004,0.003,anger,0.239,0.636,0.064,0.051,0.002,0.004,0.003,anger,0.164,0.094,0.691,0.015,0.03,0.002,0.003,neutral,0.041,0.849,0.03,0.076,0.001,0.001,0.002,anger,0.796,0.027,0.024,0.101,0.046,0.003,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1821161756.0_1_delta_threads.xml,0.0,0.3393523693084717,1.0,0,8,0,0.0,0.3425867557525635,1.0,0,4,0,0.0400777472470805,0.3762551844120025,1.0,0,40,0,0.0135872009438333,0.3838188648223877,1.0,0,23,0,0.1309171168007462,0.478178858757019,1.0,0,19,0,0.0805954951763779,0.3491919636726379,1.0,0.0,8.0,0.0,0.1139116037851522,0.3288523852825165,1.0,0.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.743,0.073,0.103,0.051,0.006,0.023,0.002,anger,0.015,0.962,0.007,0.007,0.007,0.001,0.0,neutral,0.301,0.456,0.167,0.059,0.008,0.005,0.004,anger,0.064,0.894,0.015,0.009,0.003,0.014,0.001,neutral,0.573,0.282,0.036,0.094,0.004,0.008,0.003,anger,0.065,0.077,0.804,0.031,0.019,0.002,0.002,anger,0.013,0.425,0.51,0.034,0.014,0.003,0.001,anger,0.903,0.029,0.011,0.03,0.017,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
