,filename,c1_lexical_similarity,c2_lexical_similarity,c3_lexical_similarity,c4_lexical_similarity,c5_lexical_similarity,c6_lexical_similarity,c7_lexical_similarity,c8_lexical_similarity,c9_lexical_similarity,c10_lexical_similarity,c11_lexical_similarity,c12_lexical_similarity,c13_lexical_similarity,c14_lexical_similarity,c15_lexical_similarity,c16_lexical_similarity,c1_semantic_similarity,c2_semantic_similarity,c3_semantic_similarity,c4_semantic_similarity,c5_semantic_similarity,c6_semantic_similarity,c7_semantic_similarity,c8_semantic_similarity,c9_semantic_similarity,c10_semantic_similarity,c11_semantic_similarity,c12_semantic_similarity,c13_semantic_similarity,c14_semantic_similarity,c15_semantic_similarity,c16_semantic_similarity,c1_new_content_proportion,c2_new_content_proportion,c3_new_content_proportion,c4_new_content_proportion,c5_new_content_proportion,c6_new_content_proportion,c7_new_content_proportion,c8_new_content_proportion,c9_new_content_proportion,c10_new_content_proportion,c11_new_content_proportion,c12_new_content_proportion,c13_new_content_proportion,c14_new_content_proportion,c15_new_content_proportion,c16_new_content_proportion,c1_len_quote,c2_len_quote,c3_len_quote,c4_len_quote,c5_len_quote,c6_len_quote,c7_len_quote,c8_len_quote,c9_len_quote,c10_len_quote,c11_len_quote,c12_len_quote,c13_len_quote,c14_len_quote,c15_len_quote,c16_len_quote,c1_len_original,c2_len_original,c3_len_original,c4_len_original,c5_len_original,c6_len_original,c7_len_original,c8_len_original,c9_len_original,c10_len_original,c11_len_original,c12_len_original,c13_len_original,c14_len_original,c15_len_original,c16_len_original,c1_question_count,c2_question_count,c3_question_count,c4_question_count,c5_question_count,c6_question_count,c7_question_count,c8_question_count,c9_question_count,c10_question_count,c11_question_count,c12_question_count,c13_question_count,c14_question_count,c15_question_count,c16_question_count,c17_lexical_similarity,c18_lexical_similarity,c19_lexical_similarity,c20_lexical_similarity,c17_semantic_similarity,c18_semantic_similarity,c19_semantic_similarity,c20_semantic_similarity,c17_new_content_proportion,c18_new_content_proportion,c19_new_content_proportion,c20_new_content_proportion,c17_len_quote,c18_len_quote,c19_len_quote,c20_len_quote,c17_len_original,c18_len_original,c19_len_original,c20_len_original,c17_question_count,c18_question_count,c19_question_count,c20_question_count,op_main,op_anger,op_sadness,op_neutral,op_joy,op_disgust,op_fear,op_surprise,c1_main,c1_neutral,c1_anger,c1_joy,c1_sadness,c1_disgust,c1_fear,c1_surprise,c2_main,c2_neutral,c2_anger,c2_joy,c2_sadness,c2_disgust,c2_fear,c2_surprise,c3_main,c3_neutral,c3_anger,c3_sadness,c3_joy,c3_disgust,c3_fear,c3_surprise,c4_main,c4_neutral,c4_anger,c4_joy,c4_sadness,c4_surprise,c4_fear,c4_disgust,c5_main,c5_anger,c5_neutral,c5_sadness,c5_joy,c5_disgust,c5_fear,c5_surprise,c6_main,c6_neutral,c6_joy,c6_anger,c6_sadness,c6_disgust,c6_fear,c6_surprise,c7_main,c7_neutral,c7_joy,c7_anger,c7_sadness,c7_disgust,c7_fear,c7_surprise,c8_main,c8_neutral,c8_joy,c8_anger,c8_sadness,c8_fear,c8_disgust,c8_surprise,c9_main,c9_disgust,c9_anger,c9_sadness,c9_neutral,c9_fear,c9_joy,c9_surprise,c10_main,c10_neutral,c10_anger,c10_joy,c10_sadness,c10_disgust,c10_fear,c10_surprise,c11_main,c11_neutral,c11_anger,c11_disgust,c11_joy,c11_sadness,c11_surprise,c11_fear,c12_main,c12_neutral,c12_anger,c12_joy,c12_sadness,c12_disgust,c12_fear,c12_surprise,c13_main,c13_neutral,c13_joy,c13_anger,c13_sadness,c13_disgust,c13_surprise,c13_fear,c14_main,c14_neutral,c14_joy,c14_anger,c14_sadness,c14_disgust,c14_fear,c14_surprise,c15_main,c15_neutral,c15_surprise,c15_joy,c15_anger,c15_sadness,c15_fear,c15_disgust,c16_main,c16_neutral,c16_anger,c16_joy,c16_sadness,c16_disgust,c16_fear,c16_surprise,outcome,c17_main,c17_anger,c17_neutral,c17_joy,c17_sadness,c17_disgust,c17_fear,c17_surprise,c18_main,c18_neutral,c18_anger,c18_surprise,c18_joy,c18_sadness,c18_fear,c18_disgust,c19_main,c19_anger,c19_neutral,c19_sadness,c19_joy,c19_disgust,c19_fear,c19_surprise,c20_main,c20_anger,c20_neutral,c20_joy,c20_disgust,c20_sadness,c20_fear,c20_surprise
0,113567594.0_1_delta_threads.xml,0.4884012837883578,0.4456492222334242,0.3754616466650661,0.2127075671787087,0.2304259404050069,0.2825813866566351,0.1884607272634357,0.2178265759574778,,,,,,,,,0.6072524785995483,0.5017257332801819,0.545264482498169,0.3961674571037292,0.424655020236969,0.2812093198299408,0.4928047358989715,0.4249063730239868,,,,,,,,,1.0,0.728,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,0,34,0,0,0,0.0,0.0,0.0,,,,,,,,,360,91,215,55,98,80.0,41.0,328.0,,,,,,,,,0,0,0,1,3,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.686,0.22,0.053,0.029,0.006,0.004,0.002,neutral,0.785,0.119,0.055,0.037,0.002,0.001,0.001,neutral,0.801,0.094,0.069,0.031,0.002,0.002,0.001,neutral,0.541,0.27,0.145,0.036,0.004,0.002,0.001,neutral,0.672,0.182,0.099,0.04,0.002,0.002,0.002,anger,0.487,0.388,0.073,0.045,0.004,0.002,0.001,neutral,0.777,0.123,0.064,0.03,0.003,0.001,0.001,neutral,0.592,0.351,0.025,0.018,0.009,0.004,0.001,neutral,0.831,0.12,0.023,0.021,0.001,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1082495263.0_2_delta_threads.xml,0.5161550661210889,0.3191085103159209,0.5189528042898502,0.5532996995980117,0.6744306525702812,0.1836177878006778,0.2731413264568393,,,,,,,,,,0.3262566328048706,0.540174663066864,0.8105474710464478,0.5297045111656189,0.596152663230896,0.3450311422348022,0.5088650584220886,,,,,,,,,,0.8865248226950354,1.0,0.8562874251497006,1.0,0.5833333333333334,1.0,1.0,,,,,,,,,,16,0,24,0,70,0.0,0.0,,,,,,,,,,125,105,143,230,98,10.0,55.0,,,,,,,,,,0,0,1,0,1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.619,0.068,0.236,0.056,0.012,0.007,0.002,anger,0.37,0.517,0.077,0.021,0.008,0.004,0.003,neutral,0.625,0.076,0.105,0.173,0.004,0.015,0.003,neutral,0.603,0.309,0.017,0.064,0.003,0.002,0.002,neutral,0.737,0.115,0.107,0.033,0.001,0.003,0.004,neutral,0.372,0.579,0.014,0.028,0.003,0.002,0.001,neutral,0.506,0.035,0.417,0.034,0.002,0.004,0.003,neutral,0.395,0.127,0.363,0.104,0.005,0.003,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1409948101.0_2_delta_threads.xml,0.1413747022612621,0.1454879372920522,0.0531586795823725,0.0741781346207356,0.2763730622198471,0.1371132781968599,0.5107268928964867,,,,,,,,,,0.1571653336286544,0.1505785137414932,0.2499587386846542,0.5109180808067322,0.6353675723075867,0.5547454357147217,0.8121826648712158,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.6357142857142857,,,,,,,,,,0,0,0,0,0,0.0,51.0,,,,,,,,,,28,33,37,48,69,77.0,89.0,,,,,,,,,,0,0,2,0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.16,0.018,0.74,0.068,0.012,0.002,0.001,neutral,0.928,0.015,0.047,0.005,0.005,0.001,0.001,neutral,0.961,0.011,0.013,0.013,0.001,0.0,0.0,anger,0.21,0.616,0.053,0.085,0.017,0.004,0.015,neutral,0.958,0.008,0.026,0.005,0.001,0.001,0.001,neutral,0.186,0.765,0.016,0.028,0.002,0.002,0.001,neutral,0.974,0.012,0.006,0.005,0.001,0.001,0.0,neutral,0.946,0.03,0.015,0.007,0.001,0.001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1378810771.0_1_delta_threads.xml,0.4956004816765263,0.2457474072339704,0.1783309718831604,0.1790947706166457,0.2576320566151201,0.0490833190129797,0.1250014529814714,,,,,,,,,,0.6672090291976929,0.4772670865058899,0.5202844738960266,0.4356975853443146,0.7355744242668152,0.3315819203853607,0.3983494937419891,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0,0,0,0,0,0.0,0.0,,,,,,,,,,136,66,59,28,81,16.0,242.0,,,,,,,,,,1,0,0,2,0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.523,0.168,0.169,0.086,0.049,0.003,0.002,anger,0.127,0.605,0.056,0.087,0.115,0.004,0.006,neutral,0.294,0.126,0.084,0.286,0.198,0.01,0.002,neutral,0.553,0.22,0.149,0.046,0.024,0.007,0.002,neutral,0.975,0.003,0.01,0.006,0.001,0.001,0.003,neutral,0.027,0.78,0.05,0.119,0.014,0.005,0.004,sadness,0.012,0.015,0.013,0.95,0.005,0.005,0.001,neutral,0.576,0.015,0.372,0.024,0.011,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1437482501.0_1_delta_threads.xml,0.3706358656402864,0.2247227912414245,0.3304177639535445,0.1233311748324198,0.0753957804099362,0.0787446034559451,,,,,,,,,,,0.4972954392433166,0.5058897733688354,0.5603365898132324,0.4165924191474914,0.7765136957168579,0.6482223272323608,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,45,53,33,14,17,10.0,,,,,,,,,,,2,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.319,0.068,0.408,0.15,0.045,0.007,0.002,neutral,0.95,0.016,0.015,0.009,0.006,0.002,0.002,neutral,0.557,0.123,0.079,0.03,0.192,0.013,0.006,neutral,0.451,0.211,0.054,0.043,0.232,0.007,0.002,neutral,0.932,0.02,0.034,0.007,0.003,0.002,0.003,neutral,0.006,0.917,0.009,0.065,0.001,0.001,0.001,neutral,0.666,0.035,0.019,0.041,0.226,0.011,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,154839924.0_4_delta_threads.xml,0.4587928931943571,0.404720397004377,0.0907138038419348,0.0749418030084019,0.2813792992058099,0.4775938010450761,0.2068164735832274,,,,,,,,,,0.5128397345542908,0.3248428106307983,0.2794578075408935,0.4169971644878387,0.4368480443954468,0.1291410773992538,0.30156210064888,,,,,,,,,,1.0,0.3214285714285714,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0,19,0,0,0,0.0,0.0,,,,,,,,,,576,9,27,34,386,93.0,25.0,,,,,,,,,,1,2,0,1,0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.045,0.009,0.603,0.34,0.001,0.001,0.001,neutral,0.869,0.057,0.037,0.03,0.003,0.003,0.001,neutral,0.958,0.023,0.01,0.006,0.001,0.001,0.001,neutral,0.939,0.013,0.014,0.029,0.002,0.002,0.001,anger,0.348,0.392,0.133,0.07,0.03,0.005,0.023,neutral,0.151,0.648,0.064,0.127,0.006,0.003,0.001,neutral,0.741,0.174,0.067,0.014,0.002,0.001,0.002,neutral,0.857,0.107,0.025,0.007,0.001,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1719432989.0_3_delta_threads.xml,0.3650171063337775,0.2933885804239102,0.2643418354214822,0.1515231815257472,0.3116657576629564,0.225627136267541,0.2144132352209101,0.2155626574720441,0.1836928741190757,,,,,,,,0.4094627499580383,0.5574983954429626,0.5101022124290466,0.5072346329689026,0.4956533908843994,0.6281843781471252,0.3723401725292206,0.8425043821334839,0.5621046423912048,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,35,67,38,12,81,121.0,30.0,50.0,39.0,,,,,,,,0,0,0,0,0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.259,0.026,0.583,0.11,0.014,0.005,0.002,anger,0.077,0.882,0.014,0.011,0.013,0.001,0.002,neutral,0.777,0.172,0.032,0.014,0.002,0.002,0.001,neutral,0.608,0.307,0.028,0.027,0.021,0.003,0.005,anger,0.05,0.804,0.006,0.017,0.007,0.005,0.111,anger,0.625,0.075,0.027,0.025,0.239,0.005,0.004,anger,0.327,0.08,0.5,0.05,0.038,0.003,0.002,anger,0.09,0.01,0.858,0.013,0.023,0.004,0.002,neutral,0.836,0.04,0.052,0.02,0.004,0.047,0.001,disgust,0.41,0.332,0.095,0.093,0.046,0.016,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1719432989.0_1_delta_threads.xml,0.463852250876813,0.8476461081366105,0.1456297185199896,0.2432582541444243,0.0812229812254898,0.331908459352262,0.4067439041615814,0.0225487858304725,0.48780459374866,0.1971090574083354,0.4650912034507962,,,,,,0.6625794172286987,0.8559916615486145,0.4186647534370422,0.4955077171325683,0.4939494729042053,0.7307257056236267,0.6855576038360596,0.1748846173286438,0.4256775975227356,0.2243137210607528,0.3985645771026611,,,,,,1.0,0.6553191489361702,1.0,1.0,1.0,0.7021276595744681,0.3214285714285714,1.0,0.6491228070175439,1.0,0.7407407407407407,,,,,,0,81,0,0,0,14.0,19.0,0.0,20.0,0.0,14.0,,,,,,171,154,14,49,50,33.0,9.0,20.0,37.0,21.0,40.0,,,,,,3,4,1,0,2,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutral,0.259,0.026,0.583,0.11,0.014,0.005,0.002,anger,0.087,0.829,0.008,0.023,0.047,0.004,0.002,anger,0.417,0.52,0.024,0.019,0.016,0.003,0.001,anger,0.115,0.464,0.302,0.009,0.037,0.044,0.028,neutral,0.881,0.049,0.029,0.031,0.001,0.003,0.006,anger,0.718,0.025,0.034,0.014,0.193,0.006,0.01,anger,0.356,0.028,0.496,0.03,0.079,0.007,0.004,neutral,0.805,0.074,0.103,0.01,0.005,0.001,0.002,neutral,0.517,0.163,0.273,0.034,0.007,0.001,0.004,neutral,0.003,0.266,0.011,0.66,0.005,0.053,0.004,neutral,0.935,0.043,0.015,0.004,0.002,0.001,0.0,neutral,0.548,0.399,0.024,0.014,0.006,0.005,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1821161756.0_2_delta_threads.xml,0.4962176532915875,0.336252966845412,0.1050165376254214,0.0398744196097314,0.1200757162221715,0.0409357801423401,0.0409357801423401,,,,,,,,,,0.6101168394088745,0.5451639294624329,0.5903201699256897,0.2114570885896682,0.3904317319393158,0.2155912667512893,0.246152251958847,,,,,,,,,,0.7586206896551724,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,56,0,0,0,0,0.0,0.0,,,,,,,,,,176,52,45,14,20,8.0,20.0,,,,,,,,,,5,2,2,0,1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.697,0.045,0.078,0.058,0.116,0.003,0.004,anger,0.151,0.731,0.035,0.018,0.06,0.004,0.002,neutral,0.965,0.015,0.007,0.006,0.004,0.002,0.001,anger,0.04,0.675,0.023,0.046,0.062,0.006,0.147,neutral,0.876,0.043,0.041,0.033,0.001,0.002,0.004,anger,0.612,0.362,0.004,0.013,0.004,0.002,0.002,neutral,0.94,0.036,0.013,0.008,0.001,0.002,0.001,anger,0.258,0.012,0.716,0.006,0.003,0.003,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1821161756.0_1_delta_threads.xml,0.319613554353971,0.0587384505649856,0.3333661448423105,0.2698868649600632,0.2594314089863631,0.0676719383907079,0.1346619313171541,,,,,,,,,,0.467529833316803,0.258600652217865,0.4042524099349975,0.559993326663971,0.5659599900245667,0.3133284747600555,0.2255022972822189,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0,0,0,0,0,0.0,0.0,,,,,,,,,,30,19,107,59,48,23.0,83.0,,,,,,,,,,2,1,0,0,0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,0.697,0.045,0.078,0.058,0.116,0.003,0.004,anger,0.014,0.973,0.002,0.004,0.005,0.001,0.001,neutral,0.591,0.2,0.014,0.142,0.008,0.041,0.004,neutral,0.685,0.254,0.02,0.02,0.017,0.003,0.001,neutral,0.879,0.072,0.016,0.022,0.001,0.002,0.008,anger,0.83,0.14,0.009,0.01,0.009,0.001,0.001,neutral,0.956,0.016,0.015,0.009,0.002,0.001,0.001,anger,0.24,0.036,0.69,0.011,0.018,0.001,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
